Pokemon,Location,Available in HeartGold,Available in Soulsilver,Appears in Morning,Appears in Daytime,Appears in Nighttime,Rarity,Levels
Chingling,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Uncommon,15
Bronzor,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Uncommon,13
Goldeen,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Common,10-25
Seaking,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Uncommon,15-25
Goldeen,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Common,40
Seaking,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Rare,40
Magikarp,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Rare,40
Goldeen,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Common,10
Goldeen,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Rare,10
Tyrogue,Mt Mortar,Yes,Yes,Yes,Yes,Yes,Limited,10
Onix,Mt Silver,Yes,Yes,Yes,Yes,Yes,Common,42
Ursaring,Mt Silver,No,Yes,Yes,Yes,Yes,Common,44
Donphan,Mt Silver,Yes,No,Yes,Yes,Yes,Common,44
Golbat,Mt Silver,Yes,Yes,Yes,Yes,Yes,Rare,45
Larvitar,Mt Silver,Yes,Yes,Yes,Yes,Yes,Rare,15-20
Graveler,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,41-43
Teddiursa,Mt Silver,No,Yes,Yes,Yes,Yes,Uncommon,43
Phanpy,Mt Silver,Yes,No,Yes,Yes,Yes,Uncommon,43
Makuhita,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,43
Absol,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,42-44
Chingling,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,43
Bronzor,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,42-44
Seaking,Mt Silver,Yes,Yes,Yes,Yes,Yes,Common,30-50
Goldeen,Mt Silver,Yes,Yes,Yes,Yes,Yes,Rare,30-40
Gyarados,Mt Silver,Yes,Yes,Yes,Yes,Yes,Common,40
Goldeen,Mt Silver,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Mt Silver,Yes,Yes,Yes,Yes,Yes,Common,20
Seaking,Mt Silver,Yes,Yes,Yes,Yes,Yes,Rare,20
Magikarp,Mt Silver,Yes,Yes,Yes,Yes,Yes,Common,10
Goldeen,Mt Silver,Yes,Yes,Yes,Yes,Yes,Rare,10
Quagsire,Mt Silver,Yes,Yes,Yes,Yes,No,Common,45
Misdreavus,Mt Silver,Yes,Yes,No,No,Yes,Common,45
Golbat,Mt Silver,Yes,Yes,Yes,Yes,Yes,Rare,48
Quagsire,Mt Silver,No,Yes,No,No,Yes,Rare,45
Larvitar,Mt Silver,Yes,Yes,Yes,Yes,Yes,Rare,15-20
Pupitar,Mt Silver,Yes,Yes,Yes,Yes,Yes,Rare,45
Golduck,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,48
Teddiursa,Mt Silver,No,Yes,Yes,Yes,Yes,Uncommon,46
Ursaring,Mt Silver,No,Yes,Yes,Yes,Yes,Uncommon,47-48
Phanpy,Mt Silver,Yes,No,Yes,Yes,Yes,Uncommon,46
Donphan,Mt Silver,Yes,No,Yes,Yes,Yes,Uncommon,47-48
Makuhita,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,47-48
Absol,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,45-46
Chingling,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,47-48
Bronzor,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,45-46
Quagsire,Mt Silver,Yes,Yes,Yes,Yes,Yes,Common,45
Golbat,Mt Silver,Yes,Yes,Yes,Yes,Yes,Rare,48
Larvitar,Mt Silver,Yes,Yes,Yes,Yes,Yes,Rare,15-20
Golduck,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,48
Misdreavus,Mt Silver,Yes,Yes,No,No,Yes,Uncommon,45
Steelix,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,48
Ursaring,Mt Silver,No,Yes,Yes,Yes,Yes,Uncommon,47-48
Donphan,Mt Silver,Yes,No,Yes,Yes,Yes,Uncommon,47-48
Makuhita,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,47-48
Absol,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,45-48
Chingling,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,47-48
Bronzor,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,45-48
Moltres,Mt Silver,Yes,Yes,Yes,Yes,Yes,Limited,50
Quagsire,Mt Silver,Yes,Yes,Yes,Yes,Yes,Common,45
Golbat,Mt Silver,Yes,Yes,Yes,Yes,Yes,Rare,48
Larvitar,Mt Silver,Yes,Yes,Yes,Yes,Yes,Rare,15-20
Golduck,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,48
Misdreavus,Mt Silver,Yes,Yes,No,No,Yes,Uncommon,45
Sneasel,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,48
Teddiursa,Mt Silver,No,Yes,Yes,Yes,Yes,Uncommon,46
Ursaring,Mt Silver,No,Yes,Yes,Yes,Yes,Uncommon,48-50
Phanpy,Mt Silver,Yes,No,Yes,Yes,Yes,Uncommon,46
Donphan,Mt Silver,Yes,No,Yes,Yes,Yes,Uncommon,48-50
Makuhita,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,48-50
Absol,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,46-48
Chingling,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,48-50
Bronzor,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,46-48
Golduck,Mt Silver,Yes,Yes,Yes,Yes,Yes,Common,48
Golbat,Mt Silver,Yes,Yes,Yes,Yes,Yes,Rare,48
Larvitar,Mt Silver,Yes,Yes,Yes,Yes,Yes,Rare,15-20
Quagsire,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,45
Misdreavus,Mt Silver,Yes,Yes,No,No,Yes,Uncommon,45
Sneasel,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,50
Ursaring,Mt Silver,No,Yes,Yes,Yes,Yes,Uncommon,47
Donphan,Mt Silver,Yes,No,Yes,Yes,Yes,Uncommon,47
Makuhita,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,47
Absol,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,45-48
Chingling,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,47
Bronzor,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,45-48
Ponyta,Mt Silver,Yes,Yes,Yes,Yes,Yes,Common,42
Tangela,Mt Silver,Yes,Yes,Yes,Yes,Yes,Common,41-42
Doduo,Mt Silver,Yes,Yes,Yes,Yes,No,Rare,41
Dodrio,Mt Silver,Yes,Yes,Yes,Yes,No,Rare,43
Rapidash,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,44
Sneasel,Mt Silver,Yes,Yes,No,No,Yes,Uncommon,41-43
Ursaring,Mt Silver,No,Yes,Yes,Yes,Yes,Uncommon,42
Donphan,Mt Silver,Yes,No,Yes,Yes,Yes,Uncommon,42
Linoone,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,42
Whismur,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,41-42
Bidoof,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,42
Buizel,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,41-42
Poliwhirl,Mt Silver,Yes,Yes,Yes,Yes,Yes,Common,30-48
Poliwag,Mt Silver,Yes,Yes,Yes,Yes,Yes,Rare,30-40
Poliwag,Mt Silver,Yes,Yes,Yes,Yes,Yes,Common,40
Magikarp,Mt Silver,Yes,Yes,Yes,Yes,Yes,Rare,40
Poliwag,Mt Silver,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Mt Silver,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Mt Silver,Yes,Yes,Yes,Yes,Yes,Common,10
Poliwag,Mt Silver,Yes,Yes,Yes,Yes,Yes,Rare,10
Natu,Mt Silver,Yes,Yes,Yes,Yes,Yes,Limited,42-48
Aipom,Mt Silver,Yes,Yes,Yes,Yes,Yes,Limited,39-48
Heracross,Mt Silver,Yes,Yes,Yes,Yes,Yes,Limited,39-48
Golbat,Mt Silver,Yes,Yes,Yes,Yes,Yes,Common,48-51
Onix,Mt Silver,Yes,Yes,Yes,Yes,Yes,Common,48
Golduck,Mt Silver,Yes,Yes,Yes,Yes,Yes,Rare,51
Larvitar,Mt Silver,Yes,Yes,Yes,Yes,Yes,Rare,15-20
Teddiursa,Mt Silver,No,Yes,Yes,Yes,Yes,Uncommon,48
Ursaring,Mt Silver,No,Yes,Yes,Yes,Yes,Uncommon,50
Phanpy,Mt Silver,Yes,No,Yes,Yes,Yes,Uncommon,48
Donphan,Mt Silver,Yes,No,Yes,Yes,Yes,Uncommon,50
Makuhita,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,48
Absol,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,48-51
Chingling,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,48
Bronzor,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,48-51
Natu,Mt Silver,Yes,Yes,Yes,Yes,Yes,Limited,42-48
Aipom,Mt Silver,Yes,Yes,Yes,Yes,Yes,Limited,39-48
Heracross,Mt Silver,Yes,Yes,Yes,Yes,Yes,Limited,39-48
Golduck,Mt Silver,Yes,Yes,Yes,Yes,No,Common,48
Golbat,Mt Silver,Yes,Yes,Yes,Yes,Yes,Rare,48
Golduck,Mt Silver,Yes,Yes,No,No,Yes,Uncommon,48
Quagsire,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,45
Misdreavus,Mt Silver,Yes,Yes,No,No,Yes,Uncommon,45-48
Sneasel,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,45
Ursaring,Mt Silver,No,Yes,Yes,Yes,Yes,Uncommon,47
Donphan,Mt Silver,Yes,No,Yes,Yes,Yes,Uncommon,47
Larvitar,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,15-30
Makuhita,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,47
Absol,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,45-48
Chingling,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,47
Bronzor,Mt Silver,Yes,Yes,Yes,Yes,Yes,Uncommon,45-48
Caterpie,National Park,Yes,No,No,Yes,No,Common,10
Caterpie,National Park,Yes,No,Yes,No,No,Common,10-12
Metapod,National Park,Yes,No,Yes,Yes,No,Common,10
Weedle,National Park,No,Yes,No,Yes,No,Common,10
Weedle,National Park,No,Yes,Yes,No,No,Common,10-12
Kakuna,National Park,No,Yes,Yes,Yes,No,Common,10
Hoothoot,National Park,Yes,Yes,No,No,Yes,Common,10-14
Sunkern,National Park,Yes,Yes,No,Yes,No,Common,12
Pidgey,National Park,Yes,Yes,Yes,No,No,Uncommon,10-14
Pidgey,National Park,Yes,Yes,No,Yes,No,Uncommon,12-14
Plusle,National Park,Yes,Yes,Yes,Yes,Yes,Uncommon,10
Minun,National Park,Yes,Yes,Yes,Yes,Yes,Uncommon,12
Shinx,National Park,Yes,Yes,Yes,Yes,Yes,Common,10-12
Exeggcute,National Park,Yes,Yes,Yes,Yes,Yes,Limited,2-25
Hoothoot,National Park,Yes,Yes,Yes,Yes,Yes,Limited,2-19
Ledyba,National Park,No,Yes,Yes,Yes,Yes,Limited,11-19
Spinarak,National Park,Yes,No,Yes,Yes,Yes,Limited,11-19
Pineco,National Park,Yes,Yes,Yes,Yes,Yes,Limited,2-17
Cherubi,National Park,Yes,Yes,Yes,Yes,Yes,Limited,18-25
Butterfree,National Park,Yes,Yes,Yes,Yes,Yes,Rare,27-30
Butterfree,National Park,Yes,Yes,Yes,Yes,Yes,Rare,12-15
Beedrill,National Park,Yes,Yes,Yes,Yes,Yes,Rare,27-30
Beedrill,National Park,Yes,Yes,Yes,Yes,Yes,Rare,12-15
Scyther,National Park,Yes,Yes,Yes,Yes,Yes,Rare,27-28
Scyther,National Park,Yes,Yes,Yes,Yes,Yes,Rare,13-14
Pinsir,National Park,Yes,Yes,Yes,Yes,Yes,Rare,27-28
Pinsir,National Park,Yes,Yes,Yes,Yes,Yes,Rare,13-14
Beautifly,National Park,Yes,Yes,Yes,Yes,Yes,Rare,25-32
Dustox,National Park,Yes,Yes,Yes,Yes,Yes,Rare,25-32
Combee,National Park,Yes,Yes,Yes,Yes,Yes,Rare,27-34
Caterpie,National Park,Yes,Yes,Yes,Yes,Yes,Uncommon,24-36
Caterpie,National Park,Yes,Yes,Yes,Yes,Yes,Uncommon,7-18
Metapod,National Park,Yes,Yes,Yes,Yes,Yes,Uncommon,26-36
Metapod,National Park,Yes,Yes,Yes,Yes,Yes,Uncommon,9-18
Weedle,National Park,Yes,Yes,Yes,Yes,Yes,Uncommon,24-36
Weedle,National Park,Yes,Yes,Yes,Yes,Yes,Uncommon,7-18
Kakuna,National Park,Yes,Yes,Yes,Yes,Yes,Uncommon,26-36
Kakuna,National Park,Yes,Yes,Yes,Yes,Yes,Uncommon,9-18
Paras,National Park,Yes,Yes,Yes,Yes,Yes,Uncommon,27-34
Paras,National Park,Yes,Yes,Yes,Yes,Yes,Uncommon,10-17
Venonat,National Park,Yes,Yes,Yes,Yes,Yes,Uncommon,25-32
Venonat,National Park,Yes,Yes,Yes,Yes,Yes,Uncommon,10-16
Wurmple,National Park,Yes,Yes,Yes,Yes,Yes,Uncommon,24-36
Silcoon,National Park,Yes,Yes,Yes,Yes,Yes,Uncommon,25-32
Cascoon,National Park,Yes,Yes,Yes,Yes,Yes,Uncommon,25-32
Nincada,National Park,Yes,Yes,Yes,Yes,Yes,Uncommon,26-36
Volbeat,National Park,Yes,Yes,Yes,Yes,Yes,Uncommon,26-36
Illumise,National Park,Yes,Yes,Yes,Yes,Yes,Uncommon,26-36
Kricketot,National Park,Yes,Yes,Yes,Yes,Yes,Uncommon,27-30
Kricketune,National Park,Yes,Yes,Yes,Yes,Yes,Uncommon,27-30
Tentacool,New Bark Town,Yes,Yes,Yes,Yes,Yes,Common,10-25
Tentacruel,New Bark Town,Yes,Yes,Yes,Yes,Yes,Uncommon,15-25
Shellder,New Bark Town,Yes,Yes,Yes,Yes,Yes,Common,40
Chinchou,New Bark Town,Yes,Yes,Yes,Yes,Yes,Common,40
Tentacruel,New Bark Town,Yes,Yes,Yes,Yes,Yes,Rare,40
Lanturn,New Bark Town,Yes,Yes,Yes,Yes,Yes,Rare,40
Tentacool,New Bark Town,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,New Bark Town,Yes,Yes,Yes,Yes,Yes,Common,20
Shellder,New Bark Town,Yes,Yes,Yes,Yes,Yes,Rare,20
Chinchou,New Bark Town,Yes,Yes,Yes,Yes,Yes,Rare,20
Magikarp,New Bark Town,Yes,Yes,Yes,Yes,Yes,Common,10
Tentacool,New Bark Town,Yes,Yes,Yes,Yes,Yes,Rare,10
Chikorita,New Bark Town,Yes,Yes,Yes,Yes,Yes,Limited,5
Cyndaquil,New Bark Town,Yes,Yes,Yes,Yes,Yes,Limited,5
Totodile,New Bark Town,Yes,Yes,Yes,Yes,Yes,Limited,5
Exeggcute,New Bark Town,Yes,Yes,Yes,Yes,Yes,Limited,2-25
Hoothoot,New Bark Town,Yes,Yes,Yes,Yes,Yes,Limited,2-19
Ledyba,New Bark Town,No,Yes,Yes,Yes,Yes,Limited,3-7
Spinarak,New Bark Town,Yes,No,Yes,Yes,Yes,Limited,3-7
Pineco,New Bark Town,Yes,Yes,Yes,Yes,Yes,Limited,2-17
Tentacool,Olivine City,Yes,Yes,Yes,Yes,Yes,Common,10-25
Tentacruel,Olivine City,Yes,Yes,Yes,Yes,Yes,Uncommon,15-29
Voltorb,Olivine City,Yes,Yes,Yes,Yes,Yes,Limited,—
Steelix,Olivine City,Yes,Yes,Yes,Yes,Yes,Limited,—
Raikou,Roaming,Yes,Yes,Yes,Yes,Yes,Limited,40
Entei,Roaming,Yes,Yes,Yes,Yes,Yes,Limited,40
Unown,Ruins Of Alph,Yes,Yes,Yes,Yes,Yes,Common,5
Natu,Ruins Of Alph,Yes,Yes,Yes,Yes,Yes,Common,18-24
Smeargle,Ruins Of Alph,Yes,Yes,Yes,Yes,Yes,Uncommon,20-22
Linoone,Ruins Of Alph,Yes,Yes,Yes,Yes,Yes,Uncommon,18
Whismur,Ruins Of Alph,Yes,Yes,Yes,Yes,Yes,Uncommon,20-22
Bidoof,Ruins Of Alph,Yes,Yes,Yes,Yes,Yes,Uncommon,18
Buizel,Ruins Of Alph,Yes,Yes,Yes,Yes,Yes,Uncommon,20-22
Wooper,Ruins Of Alph,Yes,Yes,Yes,Yes,Yes,Common,10-20
Quagsire,Ruins Of Alph,Yes,Yes,Yes,Yes,Yes,Common,10-25
Poliwag,Ruins Of Alph,Yes,Yes,Yes,Yes,Yes,Common,40
Magikarp,Ruins Of Alph,Yes,Yes,Yes,Yes,Yes,Rare,40
Poliwag,Ruins Of Alph,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Ruins Of Alph,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Ruins Of Alph,Yes,Yes,Yes,Yes,Yes,Common,10
Poliwag,Ruins Of Alph,Yes,Yes,Yes,Yes,Yes,Rare,10
Geodude,Ruins Of Alph,Yes,Yes,Yes,Yes,Yes,Common,3-14
Hoothoot,Safari Zone Gate,Yes,Yes,Yes,Yes,Yes,Common,15-18
Ledyba,Safari Zone Gate,No,Yes,Yes,Yes,Yes,Uncommon,15-18
Spinarak,Safari Zone Gate,Yes,No,Yes,Yes,Yes,Uncommon,15-18
Pineco,Safari Zone Gate,Yes,Yes,Yes,Yes,Yes,Uncommon,15-16
Exeggcute,Safari Zone Gate,Yes,Yes,Yes,Yes,Yes,Uncommon,15-18
Dialga,Sinjoh Ruins,Yes,Yes,Yes,Yes,Yes,Limited,1
Palkia,Sinjoh Ruins,Yes,Yes,Yes,Yes,Yes,Limited,1
Giratina,Sinjoh Ruins,Yes,Yes,Yes,Yes,Yes,Limited,1
Zubat,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Common,5-8
Slowpoke,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Uncommon,6-8
Makuhita,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Uncommon,7
Absol,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Uncommon,5-6
Chingling,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Uncommon,7
Bronzor,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Uncommon,5-6
Slowpoke,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Common,5-25
Goldeen,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Common,40
Seaking,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Rare,40
Magikarp,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Rare,40
Goldeen,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Common,10
Goldeen,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Rare,10
Zubat,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Common,19-23
Golbat,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Rare,23
Slowpoke,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Uncommon,21-23
Makuhita,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Uncommon,19
Absol,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Uncommon,21-23
Chingling,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Uncommon,19
Bronzor,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Uncommon,21-23
Slowpoke,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Common,10-25
Slowbro,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Uncommon,15-30
Goldeen,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Common,40
Seaking,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Rare,40
Magikarp,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Rare,40
Goldeen,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Common,10
Goldeen,Slowpoke Well,Yes,Yes,Yes,Yes,Yes,Rare,10
Rattata,Sprout Tower,Yes,Yes,Yes,Yes,No,Common,3-6
Gastly,Sprout Tower,Yes,Yes,No,No,Yes,Common,3-6
Rattata,Sprout Tower,Yes,Yes,No,No,Yes,Uncommon,3-5
Zigzagoon,Sprout Tower,Yes,Yes,Yes,Yes,Yes,Uncommon,3-4
Spinda,Sprout Tower,Yes,Yes,Yes,Yes,Yes,Uncommon,5
Meditite,Sprout Tower,Yes,Yes,Yes,Yes,Yes,Uncommon,5
Chatot,Sprout Tower,Yes,Yes,Yes,Yes,Yes,Uncommon,3-4
Geodude,Team Rocket Hq,Yes,Yes,Yes,Yes,Yes,Limited,21
Voltorb,Team Rocket Hq,Yes,Yes,Yes,Yes,Yes,Limited,23
Koffing,Team Rocket Hq,Yes,Yes,Yes,Yes,Yes,Limited,21
Electrode,Team Rocket Hq,Yes,Yes,Yes,Yes,Yes,Limited,23
Rattata,Union Cave,No,Yes,Yes,Yes,Yes,Common,4-6
Sandshrew,Union Cave,Yes,No,Yes,Yes,Yes,Common,6
Zubat,Union Cave,Yes,Yes,Yes,Yes,Yes,Common,5-7
Geodude,Union Cave,Yes,Yes,Yes,Yes,Yes,Common,6
Onix,Union Cave,Yes,Yes,Yes,Yes,Yes,Rare,6
Rattata,Union Cave,Yes,No,Yes,Yes,Yes,Uncommon,4
Makuhita,Union Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,5
Absol,Union Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,6
Chingling,Union Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,5
Bronzor,Union Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,6
Wooper,Union Cave,Yes,Yes,Yes,Yes,Yes,Common,10-20
Quagsire,Union Cave,Yes,Yes,Yes,Yes,Yes,Common,10-25
Goldeen,Union Cave,Yes,Yes,Yes,Yes,Yes,Common,40
Seaking,Union Cave,Yes,Yes,Yes,Yes,Yes,Rare,40
Magikarp,Union Cave,Yes,Yes,Yes,Yes,Yes,Rare,40
Goldeen,Union Cave,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Union Cave,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Union Cave,Yes,Yes,Yes,Yes,Yes,Common,10
Goldeen,Union Cave,Yes,Yes,Yes,Yes,Yes,Rare,10
Rattata,Union Cave,No,Yes,Yes,Yes,Yes,Common,6-8
Sandshrew,Union Cave,Yes,No,Yes,Yes,Yes,Common,8
Zubat,Union Cave,Yes,Yes,Yes,Yes,Yes,Common,7-9
Geodude,Union Cave,Yes,Yes,Yes,Yes,Yes,Common,8
Rattata,Union Cave,Yes,No,Yes,Yes,Yes,Rare,6
Onix,Union Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,8
Makuhita,Union Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,7
Absol,Union Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,8
Chingling,Union Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,7
Bronzor,Union Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,8
Wooper,Union Cave,Yes,Yes,Yes,Yes,Yes,Common,10-20
Quagsire,Union Cave,Yes,Yes,Yes,Yes,Yes,Common,10-25
Goldeen,Union Cave,Yes,Yes,Yes,Yes,Yes,Common,40
Seaking,Union Cave,Yes,Yes,Yes,Yes,Yes,Rare,40
Magikarp,Union Cave,Yes,Yes,Yes,Yes,Yes,Rare,40
Goldeen,Union Cave,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Union Cave,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Union Cave,Yes,Yes,Yes,Yes,Yes,Common,10
Goldeen,Union Cave,Yes,Yes,Yes,Yes,Yes,Rare,10
Raticate,Union Cave,Yes,Yes,Yes,Yes,Yes,Common,22
Zubat,Union Cave,Yes,Yes,Yes,Yes,Yes,Common,22
Rattata,Union Cave,Yes,Yes,Yes,Yes,Yes,Rare,20
Onix,Union Cave,Yes,Yes,Yes,Yes,Yes,Rare,23
Golbat,Union Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,22
Geodude,Union Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,21
Makuhita,Union Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,22
Absol,Union Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,22
Chingling,Union Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,22
Bronzor,Union Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,22
Tentacool,Union Cave,Yes,Yes,Yes,Yes,Yes,Common,10-20
Quagsire,Union Cave,Yes,Yes,Yes,Yes,Yes,Common,15-25
Tentacruel,Union Cave,Yes,Yes,Yes,Yes,Yes,Uncommon,15-25
Lapras,Union Cave,Yes,Yes,Yes,Yes,Yes,Limited,20
Whiscash,Violet City,Yes,Yes,Yes,Yes,Yes,Common,10-40
Poliwag,Violet City,Yes,Yes,Yes,Yes,Yes,Common,10-25
Poliwhirl,Violet City,Yes,Yes,Yes,Yes,Yes,Uncommon,15-32
Poliwag,Violet City,Yes,Yes,Yes,Yes,Yes,Common,40
Magikarp,Violet City,Yes,Yes,Yes,Yes,Yes,Rare,40
Poliwag,Violet City,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Violet City,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Violet City,Yes,Yes,Yes,Yes,Yes,Common,10
Poliwag,Violet City,Yes,Yes,Yes,Yes,Yes,Rare,10
Exeggcute,Violet City,Yes,Yes,Yes,Yes,Yes,Limited,2-25
Hoothoot,Violet City,Yes,Yes,Yes,Yes,Yes,Limited,2-19
Pineco,Violet City,Yes,Yes,Yes,Yes,Yes,Limited,2-17
Onix,Violet City,Yes,Yes,Yes,Yes,Yes,Limited,—
Zubat,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Common,23
Krabby,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Common,22-24
Golbat,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Rare,23
Seel,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Uncommon,22-24
Makuhita,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Uncommon,24
Absol,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Uncommon,22-23
Chingling,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Uncommon,24
Bronzor,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Uncommon,22-23
Tentacool,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Common,15-25
Horsea,Whirl Islands,Yes,Yes,Yes,Yes,Yes,Common,10-20
